Order	Family	Genus	Species	Extant/Extinct	Body-size	Bioluminescence	Bio-inference	Habitat	Sources Body-size	Sources Habitat	Source Bioluminescent
Squaliformes	Etmopteridae	Etmopterus	Etmopterus molleri	Extant	46	Yes	Light	D	Ebert et al. (2021a)	Ebert et al. (2021a)	Claes & Mallefet (2015)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus parini	Extant	38	Yes	Photophore	D	Dolganov & Balanov (2018)	Dolganov & Balanov (2018)	Dolganov & Balanov (2018)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus perryi	Extant	20	Yes	Photophore	D	Springer & Burgess (1985)	Springer & Burgess (1985)	Springer & Burgess (1985)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus polli	Extant	23	Yes	Photophore	D	Bigelow et al. (1953)	Bigelow et al. (1953)	Bigelow et al. (1953)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus princeps	Extant	94	No	Photophore	D	Ebert et al. (2021a)	Ebert et al. (2021a)	Claes et al. (2014)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus pseudosqualiolus	Extant	45	Yes	Photophore	D	Last et al. (2002)	Last et al. (2002)	Last et al. (2002)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus pusillus	Extant	67	Yes	Light	D	Kotlyar (1990)	Coelho & Erzini (2007)	Ohshima (1911)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus pycnolepis	Extant	46	Yes	Photophore	D	Kotlyar (1990)	Kotlyar (1990)	Kotlyar (1990)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus robinsi	Extant	34	Yes	Photophore	D	Schofield & Burgess (1997)	Schofield & Burgess (1997)	Schofield & Burgess (1997)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus samadiae	Extant	28	Yes	Photophore	D	White et al. (2017a)	White et al. (2017a)	White et al. (2017a)
Squaliformes	Etmopteridae	Etmopterus	Etmopterus schultzi	Extant	30	Yes	Photophore	D	Bigelow et al. (1953)	Bigelow et al. (1953)	Reif (1985)
